ID	m/z	Ion mode	Retention time (min)	SnF2-1	SnF2-2	SnF2-3	NaF-1	NaF-2	NaF-3	control-1	control-2	control-3	Compound ID	Adducts	Formula	Score	Fragmentation Score	¦¤ppm	Metabolites
4.23_172.0160n	190.0438453	pos	4.230933333	6549.795435	16890.23366	8571.633555	7097.672327	8926.419812	8235.987469	4837.613743	7348.206176	7175.066124							
4.24_471.7705n	961.6016204	pos	4.241383333	998.0607308	906.5742076	961.5674637	1132.107541	1212.422024	953.7009186	924.0856894	868.0085605	954.3996006							
4.24_651.8562n	674.8469585	pos	4.241383333	1252.024364	1378.894286	1196.14378	1259.551702	1370.611879	1360.966341	1251.544812	1217.565054	1288.453363							
4.25_449.2862n	899.5111624	pos	4.253133333	4965.036186	4443.818388	4881.633365	5301.199735	5288.171732	5234.052369	5204.452505	5130.468926	5100.848166							
4.26_853.4559n	871.4897605	pos	4.263583333	23164.23634	26738.26481	22629.68517	23378.69851	26704.05456	25284.58616	24300.43324	25060.83029	24889.41119							
3.92_350.2141n	701.4133879	pos	3.92495	11728.74181	11571.21915	11790.92396	13155.44855	13335.01636	12569.86536	12526.96183	12217.68072	12676.6034							
3.91_632.8618n	633.8690496	pos	3.913366667	9809.806678	11989.7858	9558.586071	8696.339798	9619.030806	8841.786744	8445.906847	8411.049113	8826.512051							
3.92_394.7022n	790.4109663	pos	3.92495	27263.79194	25737.20783	26742.0628	29940.9889	29905.71164	29793.2792	28516.59167	28586.25081	29302.13171							
3.91_632.3593n	633.3666133	pos	3.913366667	20758.3901	25198.99687	20141.411	19084.24933	20842.40398	19039.87737	18397.4086	18057.87747	19282.62312							
3.89_621.3374n	639.348336	pos	3.891333333	7300.722379	6506.369868	6918.122793	7058.329129	7934.790599	7371.111619	7477.134497	7624.722286	7572.895024							
3.89_494.7600n	990.5239628	pos	3.891333333	4689.688461	4162.07348	4435.824827	5072.26923	4954.060739	4536.34776	4608.285577	4858.612268	4479.866367							
4.33_482.7967n	966.5971061	pos	4.32725	835.4738266	670.0297729	745.6182742	753.3519692	1042.83998	796.4197686	818.9402184	797.7855843	763.8819027							
4.34_451.2562n	920.5192594	pos	4.338666667	1078.271071	1045.934268	1037.705213	1218.549084	1170.716715	1129.378764	1058.288745	1108.082312	1052.621224							
4.34_378.2453n	757.4922785	pos	4.338666667	1656.102631	1390.513648	1656.822729	1643.357077	1768.373476	1470.937988	1531.698103	1442.945686	1453.554276							
4.35_456.2720n	913.5453584	pos	4.349033333	2138.58608	2066.910087	2289.943203	2384.676419	2777.386853	2520.157793	2383.531135	2197.564472	2397.707401							
4.36_522.3034n	487.2895847	pos	4.36075	2359.858502	2212.006111	2341.050523	2461.547366	2755.715687	2718.687449	2746.966172	2617.9945	2660.018294							
3.89_435.7666n	436.7738565	pos	3.891333333	2685.488116	2988.389971	2647.376956	2455.361486	2370.024545	2214.633093	2051.707719	1897.274875	1898.55204							
3.89_399.2316n	799.4666263	pos	3.891333333	4383.608206	4458.531616	3908.26889	6125.736348	5100.037985	5127.969284	5668.199641	5012.88588	5912.897754							
4.38_411.2363n	376.2224437	pos	4.383166667	609.0772685	812.0152235	602.8626106	637.8147999	733.8283583	621.4794525	548.7092647	634.2497732	685.0213099							
3.89_601.8340n	619.8678502	pos	3.891333333	9491.915012	10243.14643	8827.94089	8639.836745	8159.902463	7183.716949	6942.916902	6795.353331	7125.33449							
4.39_728.8986n	746.9323854	pos	4.393733333	148.658517	170.8733228	149.7707974	159.6416321	185.3096352	177.8714713	169.3206923	180.0291144	174.487953							
3.89_610.8490n	611.856257	pos	3.891333333	6977.302915	8072.564742	6527.965525	6132.352067	6509.254271	5987.048441	5684.942132	5775.087279	5843.939007							
3.89_610.3472n	611.3544571	pos	3.891333333	17823.83424	19240.00844	16819.49384	17703.85875	18371.06424	17070.21473	17311.59049	16901.76145	17827.32546							
4.45_395.2373n	791.4764316	pos	4.45135	1620.729986	1481.205737	1544.878069	1788.528899	1769.689089	1742.29845	1713.41685	1678.214954	1581.096082							
3.88_635.8428n	658.8238119	pos	3.880983333	645.3968966	527.1888532	630.1771531	682.1181046	735.5370166	738.1101109	861.8403514	718.1569795	669.0750713							
3.87_595.8395n	596.8467792	pos	3.869633333	186.2332431	97.98456523	168.8627971	180.9713238	213.1664389	172.3648234	109.7896838	187.5787409	106.2671603							
4.47_932.5029n	950.536707	pos	4.474283333	2612.897512	2070.511197	2670.090367	2763.416322	2716.999402	2859.516201	3026.938296	2794.693893	2925.384771							
3.86_447.7531n	448.7603976	pos	3.85935	2673.863798	3106.017519	2408.815537	2449.178335	2645.766375	2380.1004	2232.548844	2138.486702	2384.094773							
3.86_449.7267n	917.489682	pos	3.85935	20953.01491	18215.5701	20233.73194	20949.0121	19228.28674	21920.58773	25403.42599	23791.67887	24033.03948							
4.51_888.5242n	911.5456544	pos	4.508266667	474.4749089	425.1235609	606.2398022	604.7464234	570.9360079	505.3123171	451.2521361	437.3576054	394.7465635							
3.83_562.3306n	527.3167286	pos	3.826433333	2286.81162	2156.766681	2066.180506	2444.749573	2305.026409	2152.6937	2332.796739	2090.171183	2188.128249							
3.79_484.7452n	970.4981636	pos	3.7949	2944.623672	2027.158745	2469.531393	2610.052908	2755.133961	2390.083778	2829.059999	2801.159275	2904.901905							
4.57_276.1206n	299.1095041	pos	4.566783333	454.275295	735.5749836	324.1474885	416.4816047	247.6591131	284.9626178	888.0039356	546.3954661	730.5098061							
4.57_369.2857n	370.2929649	pos	4.566783333	228.8411124	397.7711594	296.9244861	303.6049251	448.9048021	256.8614413	321.7992848	260.9731271	221.13701							
3.76_378.7003n	758.4044364	pos	3.7626	434551.7355	494354.1158	459921.9675	460794.7618	496184.2076	472065.5978	454426.7962	462611.7954	476069.5976							
4.60_282.1096n	305.0988892	pos	4.600866667	437.880193	352.8712181	160.9117036	155.9869962	84.69523352	160.2673326	238.5499121	145.904005	135.6012043							
4.60_127.0304n	255.075738	pos	4.600866667	209.0154782	256.4092041	226.3312791	316.0762705	321.2863601	360.3010739	280.5555203	237.348155	366.4020273							
4.64_490.2896n	513.3155263	pos	4.636766667	1565.205629	2078.664439	1535.477096	1690.625557	1807.246893	1589.53276	1550.099751	1567.746759	1633.309							
3.75_876.4629n	877.462665	pos	3.752383333	9439.78294	10608.52288	10017.22327	10165.69198	10044.41715	10324.68161	9721.608534	10320.58973	10423.93927							
4.65_322.1654n	667.2962434	pos	4.64745	1977.64893	1331.741261	1609.657071	1844.27951	1858.693098	1668.16238	1589.702685	1692.430821	1604.146493							
4.62_451.2540n	920.5359583	pos	4.62415	1292.79722	1167.559528	1242.674151	1233.476223	1240.472745	1250.319593	1119.062	1249.51246	1231.826044							
4.69_465.3062n	466.3146489	pos	4.694033333	1288.941748	1486.585928	1358.061676	1382.826155	1619.345207	1438.13392	1392.708372	1397.056583	1410.959906							
4.69_460.2243n	921.4521679	pos	4.694033333	193.9064693	390.8948595	297.1064778	240.8218739	282.8665567	263.167016	239.1742906	253.9378532	226.769168							
