ID	m/z	Ion mode	Retention time (min)	SnF2-1	SnF2-2	SnF2-3	NaF-1	NaF-2	NaF-3	control-1	control-2	control-3	Compound ID	Adducts	Formula	Score	Fragmentation Score	¦¤ppm	Metabolites
1.73_229.1202m/z	229.120179	neg	1.726083333	10.7715883	19.22827568	16.7883698	25.59327691	32.28843147	25.71499438	14.32120788	24.36160729	18.16036416	HMDB0000162	2M-H	C5H9NO2	38	0	3.46928991	Dihydrofolic acid
1.20_118.0507m/z	118.0507113	neg	1.197266667	85.18849419	189.587305	122.0923625	135.0231489	125.0106647	132.0569814	76.54532792	92.29323453	117.6770032	HMDB0000167	M-H	C4H9NO3	38.4	0	-2.144934477	Squamostanal A
1.74_145.0506m/z	145.0505938	neg	1.739083333	27.47999284	26.29012684	37.23485082	30.35958202	27.54772384	25.78857081	36.05382661	29.77209571	32.05307003	HMDB0000174	M-H2O-H	C6H12O5	38.5	0	-0.234872779	Rizatriptan
1.15_156.0763m/z	156.0762546	pos	1.150516667	345.335635	356.590881	286.3405969	306.9999356	276.8547494	269.3145996	479.4852111	338.2287059	283.2432297	HMDB0000177	M+H	C6H9N3O2	57.4	95.8	-3.213864005	L-Histidine
2.77_178.0505m/z	178.0504522	neg	2.7732	22.99412579	14.92805079	8.355606079	28.19818368	5.773617983	6.01946826	29.81995873	9.076033339	25.79786841	HMDB0000181	M-H2O-H	C9H11NO4	37.3	0	-2.610878862	Hydralazine
1.15_145.0981m/z	145.0980735	neg	1.149266667	821.7586354	928.5117616	945.1054543	1031.099533	1047.287534	1062.352236	819.0347372	893.9046458	1052.070925	HMDB0000182	M-H	C6H14N2O2	41	7.73	-1.216475273	Glycochenodeoxycholic acid 3-glucuronide
1.72_315.2002m/z	315.2001984	pos	1.721333333	74.53295337	99.06480535	88.43796195	101.8831521	114.0183699	80.57759468	55.60016744	73.63486832	68.00692666	HMDB0000182	2M+Na	C6H14N2O2	38.4	0	-0.265885858	3-Hydroxynonyl acetate
1.20_104.0350m/z	104.0349807	neg	1.197266667	36.91402062	33.09189712	32.69846338	47.79619119	29.94612244	34.78793692	30.07066108	31.84951117	35.86768008	HMDB0000187	M-H	C3H7NO3	38.4	0	-3.198147393	"(2S,4R,6S)-2-[2-(4-hydroxy-3-methoxyphenyl)ethyl]tetrahydro-6-(4-hydroxy-3,5-dimethoxyphenyl)-2H-pyran-4-ol"
1.21_132.0299m/z	132.0299422	neg	1.207933333	285.2605422	243.228072	278.4950622	269.9885584	198.4960575	230.5244514	480.8680129	254.5863103	261.4138159	HMDB0000191	M-H	C4H7NO4	38.4	0	-2.17281387	"4-(1,1,3,3-Tetramethylbutyl)-phenol"
1.42_267.0740m/z	267.0739739	neg	1.418433333	189.1504129	178.410152	175.4470505	184.6585267	174.3691534	161.4584096	221.7279145	190.1289697	190.7986461	HMDB0000195	M-H	C10H12N4O5	38	0	1.793710704	N-Ribosylhistidine
3.47_202.1087m/z	202.1086913	neg	3.469833333	234.216394	228.492871	199.998126	176.6168127	250.8825281	194.8667531	240.5890593	167.5488922	163.2081487	HMDB0000201	M-H	C9H17NO4	46	42	1.032497947	Isoleucyl-Valine
